deck_id_a,deck_id_b,shared_unique_cards,shared_copies,weighted_jaccard,cosine_similarity
EX_06,EX_20,4,8,0.071429,0.15875
EX_06,EX_21,7,14,0.132075,0.228416
EX_06,EX_22,3,8,0.071429,0.157135
EX_07,EX_01,4,5,0.043478,0.087443
EX_07,EX_02,8,15,0.142857,0.272222
EX_07,EX_03,3,3,0.025641,0.029881
EX_07,EX_04,6,12,0.111111,0.217443
EX_07,EX_05,6,9,0.081081,0.094657
EX_07,EX_06,4,7,0.061947,0.12372
EX_07,EX_07,26,60,1.0,1.0
EX_07,EX_08,4,11,0.100917,0.224074
EX_07,EX_09,7,18,0.176471,0.344265
EX_07,EX_10,3,7,0.061947,0.09288
EX_07,EX_11,2,5,0.043478,0.096808
EX_07,EX_12,7,14,0.132075,0.247441
EX_07,EX_13,4,5,0.043478,0.048162
EX_07,EX_14,3,10,0.090909,0.204765
EX_07,EX_15,3,7,0.061947,0.120605
EX_07,EX_16,8,18,0.176471,0.349854
EX_07,EX_17,5,12,0.111111,0.196445
EX_07,EX_18,5,9,0.081081,0.160987
EX_07,EX_19,5,11,0.100917,0.184264
EX_07,EX_20,7,14,0.132075,0.235004
EX_07,EX_21,5,9,0.081081,0.147442
EX_07,EX_22,6,12,0.111111,0.233289
EX_08,EX_01,4,6,0.052632,0.112903
EX_08,EX_02,5,13,0.121495,0.26233
EX_08,EX_03,5,10,0.090909,0.166571
EX_08,EX_04,8,18,0.176471,0.326208
EX_08,EX_05,5,10,0.090909,0.141702
EX_08,EX_06,7,20,0.2,0.375709
EX_08,EX_07,4,11,0.100917,0.224074
EX_08,EX_08,25,60,1.0,1.0
EX_08,EX_09,7,19,0.188119,0.396875
EX_08,EX_10,6,13,0.121495,0.200144
EX_08,EX_11,4,12,0.111111,0.210516
EX_08,EX_12,6,15,0.142857,0.259292
EX_08,EX_13,5,7,0.061947,0.110551
EX_08,EX_14,6,15,0.142857,0.276974
EX_08,EX_15,6,16,0.153846,0.271891
EX_08,EX_16,5,12,0.111111,0.256666
EX_08,EX_17,7,19,0.188119,0.306372
EX_08,EX_18,5,11,0.100917,0.214565
EX_08,EX_19,5,13,0.121495,0.22536
EX_08,EX_20,7,15,0.142857,0.263441
EX_08,EX_21,8,19,0.188119,0.348106
EX_08,EX_22,8,18,0.176471,0.30932
EX_09,EX_01,4,9,0.081081,0.169334
EX_09,EX_02,6,19,0.188119,0.392677
EX_09,EX_03,2,7,0.061947,0.135015
EX_09,EX_04,3,11,0.100917,0.231592
EX_09,EX_05,4,9,0.081081,0.143455
EX_09,EX_06,7,19,0.188119,0.385417
EX_09,EX_07,7,18,0.176471,0.344265
EX_09,EX_08,7,19,0.188119,0.396875
EX_09,EX_09,22,60,1.0,1.0
EX_09,EX_10,5,15,0.142857,0.248381
EX_09,EX_11,2,5,0.043478,0.098667
EX_09,EX_12,5,14,0.132075,0.286458
EX_09,EX_13,3,7,0.061947,0.139898
EX_09,EX_14,5,16,0.153846,0.317221
EX_09,EX_15,7,18,0.176471,0.3114
EX_09,EX_16,10,24,0.25,0.51673
EX_09,EX_17,5,13,0.121495,0.222681
EX_09,EX_18,7,17,0.165049,0.326835
EX_09,EX_19,5,15,0.142857,0.289319
EX_09,EX_20,7,21,0.212121,0.418042
EX_09,EX_21,6,19,0.188119,0.352141
EX_09,EX_22,4,12,0.111111,0.235702
EX_10,EX_01,4,9,0.081081,0.217548
EX_10,EX_02,5,15,0.142857,0.234412
EX_10,EX_03,3,9,0.081081,0.130837
EX_10,EX_04,5,14,0.132075,0.220715
EX_10,EX_05,5,11,0.100917,0.121229
EX_10,EX_06,5,10,0.090909,0.231251
EX_10,EX_07,3,7,0.061947,0.09288
EX_10,EX_08,6,13,0.121495,0.200144
EX_10,EX_09,5,15,0.142857,0.248381
EX_10,EX_10,21,60,1.0,1.0
EX_10,EX_11,2,5,0.043478,0.081127
EX_10,EX_12,6,13,0.121495,0.184144
EX_10,EX_13,5,10,0.090909,0.217275
EX_10,EX_14,7,21,0.212121,0.497202
EX_10,EX_15,8,30,0.333333,0.716115
EX_10,EX_16,6,16,0.153846,0.2502
EX_10,EX_17,5,13,0.121495,0.160207
EX_10,EX_18,5,12,0.111111,0.186046
EX_10,EX_19,4,12,0.111111,0.182379
EX_10,EX_20,4,13,0.121495,0.208846
EX_10,EX_21,7,18,0.176471,0.242588
EX_10,EX_22,6,15,0.142857,0.213988
EX_11,EX_01,1,1,0.008403,0.020049
EX_11,EX_02,3,7,0.061947,0.132474
EX_11,EX_03,10,25,0.263158,0.420201
EX_11,EX_04,3,7,0.061947,0.129625
EX_11,EX_05,3,4,0.034483,0.049068
EX_11,EX_06,3,6,0.052632,0.098667
EX_11,EX_07,2,5,0.043478,0.096808
EX_11,EX_08,4,12,0.111111,0.210516
EX_11,EX_09,2,5,0.043478,0.098667
EX_11,EX_10,2,5,0.043478,0.081127
EX_11,EX_11,19,60,1.0,1.0
EX_11,EX_12,2,6,0.052632,0.108534
EX_11,EX_13,2,3,0.025641,0.049079
EX_11,EX_14,2,5,0.043478,0.093898
EX_11,EX_15,2,6,0.052632,0.101392
EX_11,EX_16,4,8,0.071429,0.16315
EX_11,EX_17,3,11,0.100917,0.180165
EX_11,EX_18,3,4,0.034483,0.066679
EX_11,EX_19,3,6,0.052632,0.095915
EX_11,EX_20,3,8,0.071429,0.145357
EX_11,EX_21,4,9,0.081081,0.162268
EX_11,EX_22,3,5,0.043478,0.083722
EX_12,EX_01,1,3,0.025641,0.047625
EX_12,EX_02,7,18,0.176471,0.322749
EX_12,EX_03,5,14,0.132075,0.342361
EX_12,EX_04,5,12,0.111111,0.200011
EX_12,EX_05,9,22,0.22449,0.526001
EX_12,EX_06,4,10,0.090909,0.192708
EX_12,EX_07,7,14,0.132075,0.247441
EX_12,EX_08,6,15,0.142857,0.259292
EX_12,EX_09,5,14,0.132075,0.286458
EX_12,EX_10,6,13,0.121495,0.184144
EX_12,EX_11,2,6,0.052632,0.108534
EX_12,EX_12,26,60,1.0,1.0
EX_12,EX_13,4,10,0.090909,0.279797
EX_12,EX_14,5,16,0.153846,0.302351
EX_12,EX_15,5,14,0.132075,0.228684
EX_12,EX_16,6,16,0.153846,0.327262
EX_12,EX_17,7,17,0.165049,0.269073
EX_12,EX_18,6,15,0.142857,0.266497
EX_12,EX_19,7,18,0.176471,0.284497
EX_12,EX_20,8,17,0.165049,0.296334
EX_12,EX_21,6,15,0.142857,0.261727
EX_12,EX_22,4,11,0.100917,0.181687
EX_13,EX_01,16,32,0.363636,0.563283
EX_13,EX_02,9,17,0.165049,0.283621
EX_13,EX_03,7,18,0.176471,0.465315
EX_13,EX_04,10,18,0.176471,0.282757
EX_13,EX_05,9,20,0.2,0.61446
EX_13,EX_06,5,9,0.081081,0.165805
EX_13,EX_07,4,5,0.043478,0.048162
EX_13,EX_08,5,7,0.061947,0.110551
EX_13,EX_09,3,7,0.061947,0.139898
EX_13,EX_10,5,10,0.090909,0.217275
EX_13,EX_11,2,3,0.025641,0.049079
EX_13,EX_12,4,10,0.090909,0.279797
EX_13,EX_13,27,60,1.0,1.0
EX_13,EX_14,4,6,0.052632,0.113412
EX_13,EX_15,5,8,0.071429,0.159736
EX_13,EX_16,8,12,0.111111,0.217047
EX_13,EX_17,3,5,0.043478,0.064613
EX_13,EX_18,8,14,0.132075,0.205092
EX_13,EX_19,7,12,0.111111,0.1631
EX_13,EX_20,5,10,0.090909,0.15793
EX_13,EX_21,6,11,0.100917,0.189363
EX_13,EX_22,9,16,0.153846,0.273565
EX_14,EX_01,2,5,0.043478,0.110789
EX_14,EX_02,5,15,0.142857,0.29179
EX_14,EX_03,2,5,0.043478,0.078011
EX_14,EX_04,3,9,0.081081,0.165298
EX_14,EX_05,4,9,0.081081,0.125144
EX_14,EX_06,7,16,0.153846,0.302351
EX_14,EX_07,3,10,0.090909,0.204765
EX_14,EX_08,6,15,0.142857,0.276974
EX_14,EX_09,5,16,0.153846,0.317221
EX_14,EX_10,7,21,0.212121,0.497202
EX_14,EX_11,2,5,0.043478,0.093898
EX_14,EX_12,5,16,0.153846,0.302351
EX_14,EX_13,4,6,0.052632,0.113412
EX_14,EX_14,20,60,1.0,1.0
EX_14,EX_15,6,21,0.212121,0.486194
EX_14,EX_16,4,14,0.132075,0.305979
EX_14,EX_17,5,14,0.132075,0.247236
EX_14,EX_18,4,13,0.121495,0.248829
EX_14,EX_19,5,15,0.142857,0.261567
EX_14,EX_20,4,12,0.111111,0.241722
EX_14,EX_21,5,15,0.142857,0.240018
EX_14,EX_22,3,9,0.081081,0.168232
EX_15,EX_01,4,7,0.061947,0.148304
EX_15,EX_02,5,13,0.121495,0.216083
EX_15,EX_03,2,6,0.052632,0.099103
EX_15,EX_04,4,11,0.100917,0.196684
EX_15,EX_05,4,9,0.081081,0.119125
EX_15,EX_06,5,12,0.111111,0.257878
EX_15,EX_07,3,7,0.061947,0.120605
EX_15,EX_08,6,16,0.153846,0.271891
EX_15,EX_09,7,18,0.176471,0.3114
EX_15,EX_10,8,30,0.333333,0.716115
EX_15,EX_11,2,6,0.052632,0.101392
EX_15,EX_12,5,14,0.132075,0.228684
EX_15,EX_13,5,8,0.071429,0.159736
EX_15,EX_14,6,21,0.212121,0.486194
EX_15,EX_15,24,60,1.0,1.0
EX_15,EX_16,6,13,0.121495,0.236
EX_15,EX_17,6,14,0.132075,0.216696
EX_15,EX_18,6,12,0.111111,0.183198
EX_15,EX_19,5,13,0.121495,0.189197
EX_15,EX_20,5,13,0.121495,0.2274
EX_15,EX_21,7,18,0.176471,0.275624
EX_15,EX_22,4,11,0.100917,0.169732
EX_16,EX_01,6,11,0.100917,0.233332
EX_16,EX_02,12,26,0.276596,0.515887
EX_16,EX_03,4,9,0.081081,0.170097
EX_16,EX_04,6,14,0.132075,0.295912
EX_16,EX_05,6,12,0.111111,0.158138
EX_16,EX_06,5,11,0.100917,0.246882
EX_16,EX_07,8,18,0.176471,0.349854
EX_16,EX_08,5,12,0.111111,0.256666
EX_16,EX_09,10,24,0.25,0.51673
EX_16,EX_10,6,16,0.153846,0.2502
EX_16,EX_11,4,8,0.071429,0.16315
EX_16,EX_12,6,16,0.153846,0.327262
EX_16,EX_13,8,12,0.111111,0.217047
EX_16,EX_14,4,14,0.132075,0.305979
EX_16,EX_15,6,13,0.121495,0.236
EX_16,EX_16,28,60,1.0,1.0
EX_16,EX_17,11,28,0.304348,0.562544
EX_16,EX_18,9,21,0.212121,0.493319
EX_16,EX_19,9,22,0.22449,0.48903
EX_16,EX_20,6,16,0.153846,0.344165
EX_16,EX_21,8,19,0.188119,0.361957
EX_16,EX_22,8,16,0.153846,0.319372
EX_17,EX_01,1,2,0.016949,0.028281
EX_17,EX_02,8,19,0.188119,0.368932
EX_17,EX_03,3,8,0.071429,0.124556
EX_17,EX_04,4,11,0.100917,0.182843
EX_17,EX_05,4,9,0.081081,0.110032
EX_17,EX_06,4,12,0.111111,0.213403
EX_17,EX_07,5,12,0.111111,0.196445
EX_17,EX_08,7,19,0.188119,0.306372
EX_17,EX_09,5,13,0.121495,0.222681
EX_17,EX_10,5,13,0.121495,0.160207
EX_17,EX_11,3,11,0.100917,0.180165
EX_17,EX_12,7,17,0.165049,0.269073
EX_17,EX_13,3,5,0.043478,0.064613
EX_17,EX_14,5,14,0.132075,0.247236
EX_17,EX_15,6,14,0.132075,0.216696
EX_17,EX_16,11,28,0.304348,0.562544
EX_17,EX_17,20,60,1.0,1.0
EX_17,EX_18,8,23,0.237113,0.568804
EX_17,EX_19,9,26,0.276596,0.597012
EX_17,EX_20,7,18,0.176471,0.259238
EX_17,EX_21,8,19,0.188119,0.356047
EX_17,EX_22,7,15,0.142857,0.205572
EX_18,EX_01,6,11,0.100917,0.19413
EX_18,EX_02,10,22,0.22449,0.436224
EX_18,EX_03,3,10,0.090909,0.176899
EX_18,EX_04,7,14,0.132075,0.233747
EX_18,EX_05,7,12,0.111111,0.146188
EX_18,EX_06,5,12,0.111111,0.226271
EX_18,EX_07,5,9,0.081081,0.160987
EX_18,EX_08,5,11,0.100917,0.214565
EX_18,EX_09,7,17,0.165049,0.326835
EX_18,EX_10,5,12,0.111111,0.186046
EX_18,EX_11,3,4,0.034483,0.066679
EX_18,EX_12,6,15,0.142857,0.266497
EX_18,EX_13,8,14,0.132075,0.205092
EX_18,EX_14,4,13,0.121495,0.248829
EX_18,EX_15,6,12,0.111111,0.183198
EX_18,EX_16,9,21,0.212121,0.493319
EX_18,EX_17,8,23,0.237113,0.568804
EX_18,EX_18,27,60,1.0,1.0
EX_18,EX_19,21,50,0.714286,0.94967
EX_18,EX_20,7,16,0.153846,0.301413
EX_18,EX_21,11,23,0.237113,0.385906
EX_18,EX_22,6,15,0.142857,0.241774
EX_19,EX_01,4,8,0.071429,0.127378
EX_19,EX_02,12,25,0.263158,0.443231
EX_19,EX_03,3,9,0.081081,0.151786
EX_19,EX_04,5,13,0.121495,0.219285
EX_19,EX_05,7,13,0.121495,0.140192
EX_19,EX_06,4,10,0.090909,0.188057
EX_19,EX_07,5,11,0.100917,0.184264
EX_19,EX_08,5,13,0.121495,0.22536
EX_19,EX_09,5,15,0.142857,0.289319
EX_19,EX_10,4,12,0.111111,0.182379
EX_19,EX_11,3,6,0.052632,0.095915
EX_19,EX_12,7,18,0.176471,0.284497
EX_19,EX_13,7,12,0.111111,0.1631
EX_19,EX_14,5,15,0.142857,0.261567
EX_19,EX_15,5,13,0.121495,0.189197
EX_19,EX_16,9,22,0.22449,0.48903
EX_19,EX_17,9,26,0.276596,0.597012
EX_19,EX_18,21,50,0.714286,0.94967
EX_19,EX_19,25,60,1.0,1.0
EX_19,EX_20,7,17,0.165049,0.298847
EX_19,EX_21,10,21,0.212121,0.365671
EX_19,EX_22,5,14,0.132075,0.213672
EX_20,EX_01,4,8,0.071429,0.155914
EX_20,EX_02,10,28,0.304348,0.579313
EX_20,EX_03,3,10,0.090909,0.181268
EX_20,EX_04,7,16,0.153846,0.288774
EX_20,EX_05,6,11,0.100917,0.14575
EX_20,EX_06,4,8,0.071429,0.15875
EX_20,EX_07,7,14,0.132075,0.235004
EX_20,EX_08,7,15,0.142857,0.263441
EX_20,EX_09,7,21,0.212121,0.418042
EX_20,EX_10,4,13,0.121495,0.208846
EX_20,EX_11,3,8,0.071429,0.145357
EX_20,EX_12,8,17,0.165049,0.296334
EX_20,EX_13,5,10,0.090909,0.15793
EX_20,EX_14,4,12,0.111111,0.241722
EX_20,EX_15,5,13,0.121495,0.2274
EX_20,EX_16,6,16,0.153846,0.344165
EX_20,EX_17,7,18,0.176471,0.259238
EX_20,EX_18,7,16,0.153846,0.301413
EX_20,EX_19,7,17,0.165049,0.298847
EX_20,EX_20,24,60,1.0,1.0
EX_20,EX_21,6,17,0.165049,0.314263
EX_20,EX_22,7,16,0.153846,0.264419
EX_21,EX_01,4,9,0.081081,0.164384
EX_21,EX_02,10,22,0.22449,0.358775
EX_21,EX_03,4,12,0.111111,0.198255
EX_21,EX_04,6,16,0.153846,0.278924
EX_21,EX_05,7,13,0.121495,0.167478
EX_21,EX_06,7,14,0.132075,0.228416
EX_21,EX_07,5,9,0.081081,0.147442
EX_21,EX_08,8,19,0.188119,0.348106
EX_21,EX_09,6,19,0.188119,0.352141
EX_21,EX_10,7,18,0.176471,0.242588
EX_21,EX_11,4,9,0.081081,0.162268
EX_21,EX_12,6,15,0.142857,0.261727
EX_21,EX_13,6,11,0.100917,0.189363
EX_21,EX_14,5,15,0.142857,0.240018
EX_21,EX_15,7,18,0.176471,0.275624
EX_21,EX_16,8,19,0.188119,0.361957
EX_21,EX_17,8,19,0.188119,0.356047
EX_21,EX_18,11,23,0.237113,0.385906
EX_21,EX_19,10,21,0.212121,0.365671
EX_21,EX_20,6,17,0.165049,0.314263
EX_21,EX_21,24,60,1.0,1.0
EX_21,EX_22,6,16,0.153846,0.273677
EX_22,EX_01,9,21,0.212121,0.46398
EX_22,EX_02,10,24,0.25,0.481793
EX_22,EX_03,5,12,0.111111,0.218218
EX_22,EX_04,11,28,0.304348,0.555792
EX_22,EX_05,6,12,0.111111,0.139007
EX_22,EX_06,3,8,0.071429,0.157135
EX_22,EX_07,6,12,0.111111,0.233289
EX_22,EX_08,8,18,0.176471,0.30932
EX_22,EX_09,4,12,0.111111,0.235702
EX_22,EX_10,6,15,0.142857,0.213988
EX_22,EX_11,3,5,0.043478,0.083722
EX_22,EX_12,4,11,0.100917,0.181687
EX_22,EX_13,9,16,0.153846,0.273565
EX_22,EX_14,3,9,0.081081,0.168232
EX_22,EX_15,4,11,0.100917,0.169732
EX_22,EX_16,8,16,0.153846,0.319372
EX_22,EX_17,7,15,0.142857,0.205572
EX_22,EX_18,6,15,0.142857,0.241774
EX_22,EX_19,5,14,0.132075,0.213672
EX_22,EX_20,7,16,0.153846,0.264419
EX_22,EX_21,6,16,0.153846,0.273677
EX_22,EX_22,22,60,1.0,1.0
