Card ID,Card Name,Expansion,Collection No.,Stage (Pokémon)/Type (Energy and Trainer),Rule,Category,Previous stage,HP,Type,Weakness,Resistance (Type),Retreat,Move Name,Cost,Damage,Effect Explanation
24,Team Rocket's Kangaskhan ex,ASC,162,Basic Pokémon,Pokémon ex,Trainer's Pokémon（Team Rocket）,,230.0,{C},{F},,2.0,Wicked Impact,●●●,120,"If you played a Supporter card that has “Team Rocket” in its name from your hand during this turn, this attack does 100 more damage."
25,Pinsir,TWM,3,Basic Pokémon,,,,110.0,{G},{R},,2.0,Slow Crunch,{G}●,,"Discard all Energy from this Pokémon. At the end of your opponent’s next turn, the Defending Pokémon will be Knocked Out."
25,Pinsir,TWM,3,Basic Pokémon,,,,110.0,{G},{R},,2.0,Superpowered Horns,{G}●●,100,
26,Leafeon,TWM,11,Stage 1 Pokémon,,,Eevee,120.0,{G},{R},,1.0,Leaflet Blessings,●,,"Attach a Basic {G} Energy card from your hand to 1 of your Benched Pokémon. If you do, heal all damage from that Pokémon."
26,Leafeon,TWM,11,Stage 1 Pokémon,,,Eevee,120.0,{G},{R},,1.0,Solar Beam,{G}●,70,
27,Iron Leaves,TWM,19,Basic Pokémon,,Future,,120.0,{G},{R},,1.0,Recovery Net,{G},,Put up to 2 Pokémon from your discard pile into your hand.
27,Iron Leaves,TWM,19,Basic Pokémon,,Future,,120.0,{G},{R},,1.0,Avenging Edge,{G}●●,100,"If any of your Pokémon were Knocked Out by damage from an attack during your opponent’s last turn, this attack does 60 more damage."
28,Poltchageist,TWM,20,Basic Pokémon,,,,30.0,{G},{R},,1.0,[Ability] Storehouse Hideaway,,,"As long as this Pokémon is on your Bench, prevent all damage from and effects of attacks from your opponent’s Pokémon done to this Pokémon."
28,Poltchageist,TWM,20,Basic Pokémon,,,,30.0,{G},{R},,1.0,Hook,{G},10,
29,Sinistcha ex,TWM,23,Stage 1 Pokémon,Pokémon ex,,Poltchageist,240.0,{G},{R},,1.0,Re-Brew,●,,"Put 2 damage counters on 1 of your opponent’s Pokémon for each Basic {G} Energy card in your discard pile. Then, shuffle those Energy cards into your deck."
29,Sinistcha ex,TWM,23,Stage 1 Pokémon,Pokémon ex,,Poltchageist,240.0,{G},{R},,1.0,Matcha Splash,{G}●,120,Heal 30 damage from each of your Pokémon.
30,Magcargo ex,TWM,29,Stage 1 Pokémon,Pokémon ex,Tera(Fire),Slugma,270.0,{R},{W},,3.0,[Tera],,,"As long as this Pokémon is on your Bench, prevent all damage done to this Pokémon by attacks (both yours and your opponent’s)."
30,Magcargo ex,TWM,29,Stage 1 Pokémon,Pokémon ex,Tera(Fire),Slugma,270.0,{R},{W},,3.0,Hot Magma,{R}●,70,Your opponent’s Active Pokémon is now Burned.
30,Magcargo ex,TWM,29,Stage 1 Pokémon,Pokémon ex,Tera(Fire),Slugma,270.0,{R},{W},,3.0,Ground Burn,{R}{R}●,140,Discard the top card of each player’s deck. This attack does 140 more damage for each Energy card discarded in this way.
31,Chi-Yu,TWM,39,Basic Pokémon,,,,110.0,{R},{W},,1.0,Allure,●,,Draw 2 cards.
31,Chi-Yu,TWM,39,Basic Pokémon,,,,110.0,{R},{W},,1.0,Ground Melter,{R}●,60,"If a Stadium is in play, this attack does 60 more damage. Then, discard that Stadium."
32,Glaceon,TWM,54,Stage 1 Pokémon,,,Eevee,120.0,{W},{M},,1.0,Permeating Chill,{W},30,"At the end of your opponent’s next turn, put 9 damage counters on the Defending Pokémon."
32,Glaceon,TWM,54,Stage 1 Pokémon,,,Eevee,120.0,{W},{M},,1.0,Icicle Missile,{W}●,70,
33,Froakie,TWM,56,Basic Pokémon,,,,60.0,{W},{L},,1.0,Flock,{W},,"Search your deck for up to 2 Froakie and put them onto your Bench. Then, shuffle your deck."
33,Froakie,TWM,56,Basic Pokémon,,,,60.0,{W},{L},,1.0,Flop,{W},10,
34,Frogadier,TWM,57,Stage 1 Pokémon,,,Froakie,90.0,{W},{L},,1.0,Numbing Water,{W},20,"Flip a coin. If heads, your opponent’s Active Pokémon is now Paralyzed."
35,Walking Wake,TWM,63,Basic Pokémon,,Ancient,,130.0,{W},{L},,1.0,Aurora Gain,{W},20,Heal 20 damage from this Pokémon.
35,Walking Wake,TWM,63,Basic Pokémon,,Ancient,,130.0,{W},{L},,1.0,Undulating Slice,{W}{W}●,20×,Put up to 9 damage counters on this Pokémon. This attack does 20 damage for each damage counter you placed in this way.
36,Morpeko,TWM,72,Basic Pokémon,,,,70.0,{L},{F},,1.0,[Ability] Snack Seek,,,"Once during your turn, you may look at the top card of your deck. You may discard that card."
36,Morpeko,TWM,72,Basic Pokémon,,,,70.0,{L},{F},,1.0,Pick and Stick,{L},,Attach up to 2 Basic Energy cards from your discard pile to your Pokémon in any way you like.
37,Iron Thorns ex,TWM,77,Basic Pokémon,Pokémon ex,Future,,230.0,{L},{F},,4.0,[Ability] Initialization,,,"As long as this Pokémon is in the Active Spot, Pokémon with a Rule Box in play (both yours and your opponent’s) have no Abilities, except for Future Pokémon. (Pokémon {ex}, Pokémon {V}, etc. have Rule Boxes.)"
37,Iron Thorns ex,TWM,77,Basic Pokémon,Pokémon ex,Future,,230.0,{L},{F},,4.0,Volt Cyclone,{L}●●,140,Move an Energy from this Pokémon to 1 of your Benched Pokémon.
38,Girafarig,TWM,83,Basic Pokémon,,,,100.0,{P},{D},{F},1.0,Dual Headbutt,●,30,This attack also does 10 damage to 1 of your Benched Pokémon. (Don’t apply Weakness and Resistance for Benched Pokémon.)
39,Enamorus,TWM,93,Basic Pokémon,,,,120.0,{P},{M},,1.0,Heart Sign,●,30,
39,Enamorus,TWM,93,Basic Pokémon,,,,120.0,{P},{M},,1.0,Love Resonance,{P}●●,80,"If any of your Pokémon in play are the same type as any of your opponent’s Pokémon in play, this attack does 120 more damage."
40,Greninja ex,TWM,106,Stage 2 Pokémon,Pokémon ex,Tera(Fighting),Frogadier,310.0,{F},{P},,1.0,[Tera],,,"As long as this Pokémon is on your Bench, prevent all damage done to this Pokémon by attacks (both yours and your opponent’s)."
40,Greninja ex,TWM,106,Stage 2 Pokémon,Pokémon ex,Tera(Fighting),Frogadier,310.0,{F},{P},,1.0,Shinobi Blade,{W},170,"You may search your deck for a card and put it into your hand. Then, shuffle your deck."
40,Greninja ex,TWM,106,Stage 2 Pokémon,Pokémon ex,Tera(Fighting),Frogadier,310.0,{F},{P},,1.0,Mirage Barrage,{W}●●,,Discard 2 Energy from this Pokémon. This attack does 120 damage to 2 of your opponent’s Pokémon. (Don’t apply Weakness and Resistance for Benched Pokémon.)
41,Ting-Lu,TWM,110,Basic Pokémon,,,,140.0,{F},{G},,3.0,Ground Crasher,{F},30,"If a Stadium is in play, this attack also does 30 damage to each of your opponent’s Benched Pokémon, and discard that Stadium. (Don’t apply Weakness and Resistance for Benched Pokémon.)"
41,Ting-Lu,TWM,110,Basic Pokémon,,,,140.0,{F},{G},,3.0,Hammer In,{F}{F}●,110,
42,Applin,TWM,126,Basic Pokémon,,,,40.0,Dragon,,,1.0,Find a Friend,●,,"Search your deck for a Pokémon, reveal it, and put it into your hand. Then, shuffle your deck."
42,Applin,TWM,126,Basic Pokémon,,,,40.0,Dragon,,,1.0,Rolling Tackle,{G}{R},30,
43,Eevee,TWM,135,Basic Pokémon,,,,50.0,{C},{F},,1.0,Ascension,●,,"Search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck."
43,Eevee,TWM,135,Basic Pokémon,,,,50.0,{C},{F},,1.0,Quick Attack,●●●,20,"Flip a coin. If heads, this attack does 20 more damage."
44,Bloodmoon Ursaluna ex,TWM,141,Basic Pokémon,Pokémon ex,,,260.0,{C},{F},,3.0,[Ability] Seasoned Skill,,,Blood Moon used by this Pokémon costs {C} less for each Prize card your opponent has taken.
44,Bloodmoon Ursaluna ex,TWM,141,Basic Pokémon,Pokémon ex,,,260.0,{C},{F},,3.0,Blood Moon,●●●●●,240,"During your next turn, this Pokémon can’t use attacks."
45,Shaymin,TEF,13,Basic Pokémon,,,,70.0,{G},{R},,,Pinpoint Dive,{G},,This attack does 60 damage to 1 of your opponent’s Benched Pokémon {ex} or Benched Pokémon {V}. (Don’t apply Weakness and Resistance for Benched Pokémon.)
45,Shaymin,TEF,13,Basic Pokémon,,,,70.0,{G},{R},,,Rear Kick,●●,50,
46,Gouging Fire ex,TEF,38,Basic Pokémon,Pokémon ex,Ancient,,230.0,{R},{W},,2.0,Heat Blast,{R}●,60,
46,Gouging Fire ex,TEF,38,Basic Pokémon,Pokémon ex,Ancient,,230.0,{R},{W},,2.0,Blaze Blitz,{R}{R}●,260,This Pokémon can’t use Blaze Blitz again until it leaves the Active Spot.
47,Totodile,TEF,39,Basic Pokémon,,,,70.0,{W},{L},,1.0,Big Bite,{W},10,"During your opponent’s next turn, the Defending Pokémon can’t retreat."
48,Croconaw,TEF,40,Stage 1 Pokémon,,,Totodile,90.0,{W},{L},,2.0,Reverse Thrust,{W},30,Switch this Pokémon with 1 of your Benched Pokémon.
49,Feraligatr,TEF,41,Stage 2 Pokémon,,,Croconaw,180.0,{W},{L},,3.0,[Ability] Torrential Heart,,,"Once during your turn, you may put 5 damage counters on this Pokémon. If you do, during this turn, attacks used by this Pokémon do 120 more damage to your opponent’s Active Pokémon (before applying Weakness and Resistance)."
49,Feraligatr,TEF,41,Stage 2 Pokémon,,,Croconaw,180.0,{W},{L},,3.0,Giant Wave,{W}{W},160,"During your next turn, this Pokémon can’t use Giant Wave."
50,Wiglett,TEF,47,Basic Pokémon,,,,60.0,{W},{L},,1.0,Lucky Find,{W},,"Search your deck for an Item card, reveal it, and put it into your hand. Then, shuffle your deck."
50,Wiglett,TEF,47,Basic Pokémon,,,,60.0,{W},{L},,1.0,Aqua Bomb,{W}{W},40,This Pokémon also does 20 damage to itself.
51,Palafin,TEF,49,Stage 1 Pokémon,,,Finizen,150.0,{W},{L},,2.0,Vanguard Punch,{W},130,This Pokémon also does 10 damage to itself for each damage counter on it.
51,Palafin,TEF,49,Stage 1 Pokémon,,,Finizen,150.0,{W},{L},,2.0,Double Hit,{W}●●,90×,Flip 2 coins. This attack does 90 damage for each heads.
52,Wugtrio ex,TEF,60,Stage 1 Pokémon,Pokémon ex,Tera(Lightning),Wiglett,250.0,{L},{F},,1.0,[Tera],,,"As long as this Pokémon is on your Bench, prevent all damage done to this Pokémon by attacks (both yours and your opponent’s)."
52,Wugtrio ex,TEF,60,Stage 1 Pokémon,Pokémon ex,Tera(Lightning),Wiglett,250.0,{L},{F},,1.0,Tricolor Pump,{W},,Discard up to 3 Energy cards from your hand. This attack does 60 damage to 1 of your opponent’s Pokémon for each Energy card you discarded in this way. (Don’t apply Weakness and Resistance for Benched Pokémon.)
52,Wugtrio ex,TEF,60,Stage 1 Pokémon,Pokémon ex,Tera(Lightning),Wiglett,250.0,{L},{F},,1.0,Numbing Hold,{W}{W},120,"During your opponent’s next turn, the Defending Pokémon can’t retreat."
53,Marill,TEF,64,Basic Pokémon,,,,70.0,{P},{M},,2.0,Ball Roll,●,10×,Flip a coin until you get tails. This attack does 10 damage for each heads.
53,Marill,TEF,64,Basic Pokémon,,,,70.0,{P},{M},,2.0,Magical Shot,{P}●●,40,
54,Bronzor,TEF,68,Basic Pokémon,,,,80.0,{P},{D},{F},3.0,Mirror Attack,{P},10,"If your opponent’s Active Pokémon is a {P} Pokémon, this attack does 30 more damage."
55,Bronzong,TEF,69,Stage 1 Pokémon,,,Bronzor,110.0,{P},{D},{F},3.0,Evolution Jammer,{P},30,"During your opponent’s next turn, they can’t play any Pokémon from their hand to evolve their Pokémon."
55,Bronzong,TEF,69,Stage 1 Pokémon,,,Bronzor,110.0,{P},{D},{F},3.0,Super Psy Bolt,{P}●●,100,
56,Flutter Mane,TEF,78,Basic Pokémon,,Ancient,,90.0,{P},{M},,1.0,[Ability] Midnight Fluttering,,,"As long as this Pokémon is in the Active Spot, your opponent’s Active Pokémon has no Abilities, except for Midnight Fluttering."
56,Flutter Mane,TEF,78,Basic Pokémon,,Ancient,,90.0,{P},{M},,1.0,Hex Hurl,●●●,90,Put 2 damage counters on your opponent’s Benched Pokémon in any way you like.
57,Relicanth,TEF,84,Basic Pokémon,,,,100.0,{F},{G},,1.0,[Ability] Memory Dive,,,Each of your evolved Pokémon can use any attack from its previous Evolutions. (You still need the necessary Energy to use each attack.)
57,Relicanth,TEF,84,Basic Pokémon,,,,100.0,{F},{G},,1.0,Razor Fin,{F}●,30,
58,Great Tusk,TEF,97,Basic Pokémon,,Ancient,,140.0,{F},{P},,3.0,Land Collapse,●●,,"Discard the top card of your opponent’s deck. If you played an Ancient Supporter card from your hand during this turn, discard 3 more cards in this way."
58,Great Tusk,TEF,97,Basic Pokémon,,Ancient,,140.0,{F},{P},,3.0,Giant Tusk,{F}{F}●●,160,
59,Gastly,TEF,102,Basic Pokémon,,,,60.0,{D},{F},,1.0,Mysterious Beam,{D},,"Flip a coin. If heads, discard an Energy from your opponent’s Active Pokémon."
59,Gastly,TEF,102,Basic Pokémon,,,,60.0,{D},{F},,1.0,Suffocating Gas,{D}{D},30,
60,Haunter,TEF,103,Stage 1 Pokémon,,,Gastly,90.0,{D},{F},,1.0,Super Poison Breath,{D}{D},30,Your opponent’s Active Pokémon is now Poisoned.
61,Roaring Moon,TEF,109,Basic Pokémon,,Ancient,,140.0,{D},{G},,2.0,Vengeance Fletching,{D}{D},70,This attack does 10 more damage for each Ancient card in your discard pile.
61,Roaring Moon,TEF,109,Basic Pokémon,,Ancient,,140.0,{D},{G},,2.0,Speed Wing,{D}●●●,120,
62,Koraidon,TEF,119,Basic Pokémon,,Ancient,,140.0,Dragon,,,2.0,Primordial Beatdown,{F}●,30×,This attack does 30 damage for each of your Ancient Pokémon in play.
62,Koraidon,TEF,119,Basic Pokémon,,Ancient,,140.0,Dragon,,,2.0,Shred,{R}{F}●,130,This attack’s damage isn’t affected by any effects on your opponent’s Active Pokémon.
63,Raging Bolt ex,TEF,123,Basic Pokémon,Pokémon ex,Ancient,,240.0,Dragon,,,3.0,Burst Roar,●,,Discard your hand and draw 6 cards.
63,Raging Bolt ex,TEF,123,Basic Pokémon,Pokémon ex,Ancient,,240.0,Dragon,,,3.0,Bellowing Thunder,{L}{F},70×,You may discard any amount of Basic Energy from your Pokémon. This attack does 70 damage for each card you discarded in this way.
64,Hoothoot,TEF,126,Basic Pokémon,,,,70.0,{C},{L},{F},1.0,Silent Wing,●●,20,Your opponent reveals their hand.
65,Dunsparce,TEF,128,Basic Pokémon,,,,60.0,{C},{F},,,Gnaw,●,10,
65,Dunsparce,TEF,128,Basic Pokémon,,,,60.0,{C},{F},,,Dig,●●,30,"Flip a coin. If heads, during your opponent’s next turn, prevent all damage from and effects of attacks done to this Pokémon."
66,Dudunsparce,TEF,129,Stage 1 Pokémon,,,Dunsparce,140.0,{C},{F},,3.0,[Ability] Run Away Draw,,,"Once during your turn, you may draw 3 cards. If you drew any cards in this way, shuffle this Pokémon and all attached cards into your deck."
66,Dudunsparce,TEF,129,Stage 1 Pokémon,,,Dunsparce,140.0,{C},{F},,3.0,Land Crush,●●●,90,
67,Pineco,TEF,2,Basic Pokémon,,,,70.0,{G},{R},,2.0,Ram,●●●,50,
68,Seedot,TEF,3,Basic Pokémon,,,,60.0,{G},{R},,1.0,Rigidify,{G},,"During your opponent’s next turn, this Pokémon takes 30 less damage from attacks (after applying Weakness and Resistance)."
68,Seedot,TEF,3,Basic Pokémon,,,,60.0,{G},{R},,1.0,Hang Down,●●,20,
69,Nuzleaf,TEF,4,Stage 1 Pokémon,,,Seedot,90.0,{G},{R},,1.0,Corkscrew Punch,{G},20,
69,Nuzleaf,TEF,4,Stage 1 Pokémon,,,Seedot,90.0,{G},{R},,1.0,Comet Slap,●●,30×,Flip 3 coins. This attack does 30 damage for each heads.
70,Shiftry,TEF,5,Stage 2 Pokémon,,,Nuzleaf,150.0,{G},{R},,2.0,Expelling Tornado,{G},,"Choose 3 of your opponent’s Benched Pokémon. If you do, shuffle all of your opponent’s Benched Pokémon that you didn’t choose, and all cards attached to those Pokémon, into their deck."
70,Shiftry,TEF,5,Stage 2 Pokémon,,,Nuzleaf,150.0,{G},{R},,2.0,Energy Loop,●●,140,Put an Energy attached to this Pokémon into your hand.
71,Deerling,TEF,16,Basic Pokémon,,,,70.0,{G},{R},,1.0,Flop,●,10,
71,Deerling,TEF,16,Basic Pokémon,,,,70.0,{G},{R},,1.0,Leaf Litter Tackle,{G}●●,40,Discard a {G} Energy from this Pokémon.
72,Sawsbuck,TEF,17,Stage 1 Pokémon,,,Deerling,130.0,{G},{R},,2.0,[Ability] Changing Seasons,,,"Once during your turn, you may search your deck for a Stadium card, reveal it, and put it into your hand. Then, shuffle your deck."
72,Sawsbuck,TEF,17,Stage 1 Pokémon,,,Deerling,130.0,{G},{R},,2.0,Superpowered Horns,{G}●●,110,
73,Rellor,TEF,23,Basic Pokémon,,,,50.0,{G},{R},,1.0,Slight Intrusion,●,30,This Pokémon also does 10 damage to itself.
74,Rabsca,TEF,24,Stage 1 Pokémon,,,Rellor,70.0,{G},{R},,1.0,[Ability] Spherical Shield,,,Prevent all damage from and effects of attacks from your opponent’s Pokémon done to your Benched Pokémon.
74,Rabsca,TEF,24,Stage 1 Pokémon,,,Rellor,70.0,{G},{R},,1.0,Psychic,{G},10,This attack does 30 more damage for each Energy attached to your opponent’s Active Pokémon.
75,Iron Leaves ex,TEF,25,Basic Pokémon,Pokémon ex,Future,,220.0,{G},{R},,1.0,[Ability] Rapid Vernier,,,"When you play this Pokémon from your hand onto your Bench during your turn, you may switch it with your Active Pokémon. If you do, you may move any amount of Energy from your other Pokémon to this Pokémon."
75,Iron Leaves ex,TEF,25,Basic Pokémon,Pokémon ex,Future,,220.0,{G},{R},,1.0,Prism Edge,{G}{G}●,180,"During your next turn, this Pokémon can’t use attacks."
76,Slugma,TEF,28,Basic Pokémon,,,,80.0,{R},{W},,2.0,Roasting Heat,{R},10,"If your opponent’s Active Pokémon is Burned, this attack does 40 more damage."
77,Litten,TEF,32,Basic Pokémon,,,,70.0,{R},{W},,2.0,Fake Out,{R},10,"Flip a coin. If heads, your opponent’s Active Pokémon is now Paralyzed."
78,Torracat,TEF,33,Stage 1 Pokémon,,,Litten,100.0,{R},{W},,2.0,Bite,{R},30,
78,Torracat,TEF,33,Stage 1 Pokémon,,,Litten,100.0,{R},{W},,2.0,Flare Strike,{R}●●,80,"During your next turn, this Pokémon can’t use Flare Strike."
79,Incineroar ex,TEF,34,Stage 2 Pokémon,Pokémon ex,,Torracat,320.0,{R},{W},,2.0,[Ability] Hustle Play,,,Attacks used by this Pokémon cost {C} less for each of your opponent’s Benched Pokémon.
79,Incineroar ex,TEF,34,Stage 2 Pokémon,Pokémon ex,,Torracat,320.0,{R},{W},,2.0,Blaze Blast,{R}●●●●,240,Your opponent’s Active Pokémon is now Burned.
80,Iron Crown ex,TEF,81,Basic Pokémon,Pokémon ex,Future,,220.0,{P},{D},{F},2.0,[Ability] Cobalt Command,,,"Attacks used by your Future Pokémon, except any Iron Crown {ex}, do 20 more damage to your opponent’s Active Pokémon (before applying Weakness and Resistance)."
80,Iron Crown ex,TEF,81,Basic Pokémon,Pokémon ex,Future,,220.0,{P},{D},{F},2.0,Twin Shotels,{P}●●,,"This attack does 50 damage to 2 of your opponent’s Pokémon. This attack’s damage isn’t affected by Weakness or Resistance, or by any effects on those Pokémon."
81,Drilbur,TEF,85,Basic Pokémon,,,,70.0,{F},{G},,1.0,[Ability] Dig Dig Dig,,,"When you play this Pokémon from your hand onto your Bench during your turn, you may search your deck for up to 3 Basic {F} Energy cards and discard them. Then, shuffle your deck."
81,Drilbur,TEF,85,Basic Pokémon,,,,70.0,{F},{G},,1.0,Sand Spray,{F}●,20,
82,Excadrill,TEF,86,Stage 1 Pokémon,,,Drilbur,130.0,{F},{G},,2.0,Mud Shot,●,20,
82,Excadrill,TEF,86,Stage 1 Pokémon,,,Drilbur,130.0,{F},{G},,2.0,Wild Tackle,{F}{F}●,180,This Pokémon also does 50 damage to itself.
83,Farigiraf ex,TEF,108,Stage 1 Pokémon,Pokémon ex,Tera(Darkness),Girafarig,260.0,{D},{G},,2.0,[Tera],,,"As long as this Pokémon is on your Bench, prevent all damage done to this Pokémon by attacks (both yours and your opponent’s)."
83,Farigiraf ex,TEF,108,Stage 1 Pokémon,Pokémon ex,Tera(Darkness),Girafarig,260.0,{D},{G},,2.0,[Ability] Armor Tail,,,Prevent all damage done to this Pokémon by attacks from your opponent’s Basic Pokémon {ex}.
83,Farigiraf ex,TEF,108,Stage 1 Pokémon,Pokémon ex,Tera(Darkness),Girafarig,260.0,{D},{G},,2.0,Dirty Beam,{P}●●,160,This attack also does 30 damage to 1 of your opponent’s Benched Pokémon. (Don’t apply Weakness and Resistance for Benched Pokémon.)
84,Scizor ex,TEF,111,Stage 1 Pokémon,Pokémon ex,,Scyther,270.0,{M},{R},{G},2.0,Steel Wing,●●,70,"During your opponent’s next turn, this Pokémon takes 50 less damage from attacks (after applying Weakness and Resistance)."
84,Scizor ex,TEF,111,Stage 1 Pokémon,Pokémon ex,,Scyther,270.0,{M},{R},{G},2.0,Cross Breaker,{M}{M},120×,Discard up to 2 {M} Energy from this Pokémon. This attack does 120 damage for each card you discarded in this way.
85,Beldum,TEF,113,Basic Pokémon,,,,70.0,{M},{R},{G},1.0,Dig Claws,{M},10,
85,Beldum,TEF,113,Basic Pokémon,,,,70.0,{M},{R},{G},1.0,Iron Tackle,{M}●●,50,This Pokémon also does 10 damage to itself.
86,Metang,TEF,114,Stage 1 Pokémon,,,Beldum,100.0,{M},{R},{G},2.0,[Ability] Metal Maker,,,"Once during your turn, you may look at the top 4 cards of your deck and attach any number of Basic {M} Energy cards you find there to your Pokémon in any way you like. Shuffle the other cards and put them on the bottom of your deck."
86,Metang,TEF,114,Stage 1 Pokémon,,,Beldum,100.0,{M},{R},{G},2.0,Beam,{M}●●,60,
87,Miraidon,TEF,121,Basic Pokémon,,Future,,110.0,Dragon,,,2.0,Peak Acceleration,●,40,"Search your deck for up to 2 Basic Energy cards and attach them to your Future Pokémon in any way you like. Then, shuffle your deck."
87,Miraidon,TEF,121,Basic Pokémon,,Future,,110.0,Dragon,,,2.0,Sparking Strike,{L}{L}{P},160,
88,Volbeat,TWM,9,Basic Pokémon,,,,70.0,{G},{R},,1.0,Quick Sign,●,,"If you go first, you can use this attack during your first turn. Search your deck for up to 2 Basic Pokémon and put them onto your Bench. Then, shuffle your deck."
88,Volbeat,TWM,9,Basic Pokémon,,,,70.0,{G},{R},,1.0,Coordinated Strike,●●,20,"If Illumise is on your Bench, this attack does 60 more damage."
89,Grookey,TWM,14,Basic Pokémon,,,,70.0,{G},{R},,1.0,Smash Kick,{G},10,
