カード ID,カード名,エキスパンションマーク,コレクション番号,ポケモンの進化の段階/エネルギー・トレーナーズの種類,ルール,カテゴリ,進化前,HP,タイプ,弱点,抵抗力,にげる,ワザ名,コスト,ダメージ,効果の説明,_effect_len,_has_special_char,_is_evolution,风险等级,PDF页码(公式)
23,カバルドン,PROMO,187/SV-P,ポケモン/1進化,,,ヒポポタス,160.0,闘,草,,4.0,ぶつかる,闘闘,60,,0,False,False,高,62
23,カバルドン,PROMO,187/SV-P,ポケモン/1進化,,,ヒポポタス,160.0,闘,草,,4.0,おおすなあらし,闘闘●,150,ダメカンがのっているおたがいのベンチポケモン全員にも、それぞれ40ダメージ。［ベンチは弱点・抵抗力を計算しない。］,57,False,False,高,62
25,カイロス,SV5a,003/066,ポケモン/たね,,,,110.0,草,炎,,2.0,スロークランチ,草●,,このポケモンについているエネルギーを、すべてトラッシュする。次の相手の番の終わりに、このワザを受けたポケモンは【きぜつ】する。,63,False,False,高,64
25,カイロス,SV5a,003/066,ポケモン/たね,,,,110.0,草,炎,,2.0,かいりきホーン,草●●,100,,0,False,False,高,64
29,ヤバソチャex,MC,079/742,ポケモン/1進化,ex,,チャデス,240.0,草,炎,,1.0,せんじがえし,●,,自分のトラッシュにある「基本【草】エネルギー」をすべて相手に見せ、その枚数×2個ぶんのダメカンを、相手のポケモン1匹にのせる。その後、見せたエネルギーを山札にもどして切る。,86,False,False,高,68
29,ヤバソチャex,MC,079/742,ポケモン/1進化,ex,,チャデス,240.0,草,炎,,1.0,まっちゃスプラッシュ,草●,120,自分のポケモン全員のHPを、それぞれ「30」回復する。,27,False,False,高,68
36,モルペコ,MC,270/742,ポケモン/たね,,,,70.0,雷,闘,,1.0,[特性]おやつさがし,,,自分の番に1回使える。自分の山札を上から1枚見て、もとにもどす。のぞむなら、そのカードをトラッシュする。,52,False,False,高,75
36,モルペコ,MC,270/742,ポケモン/たね,,,,70.0,雷,闘,,1.0,ひろってつける,雷,,自分のトラッシュから基本エネルギーを2枚まで選び、自分のポケモンに好きなようにつける。,43,False,False,高,75
101,ルージュラ,SV6,028/101,ポケモン/たね,,,,90.0,水,鋼,,1.0,おさそいキッス,●,,自分の山札から【たね】ポケモンを1枚選び、ベンチに出す。そして山札を切る。その後、このポケモンについているエネルギーを1個選び、新しく出したポケモンにつけ替える。,81,False,False,高,140
101,ルージュラ,SV6,028/101,ポケモン/たね,,,,90.0,水,鋼,,1.0,スノーアイス,水,30,,0,False,False,高,140
106,イルカマン,MC,215/742,ポケモン/1進化,,,ナミイルカ,100.0,水,雷,,1.0,[特性]マイティチェンジ,,,自分の番に、このポケモンがバトル場からベンチにもどったとき、1回使える。自分の山札から「イルカマン【ex】」を1枚選び、このカードと入れ替える（ついているカード・ダメカン・特殊状態・効果などは、すべて引きつぐ）。入れ替えたなら、このカードは山札にもどす。そして山札を切る。,136,False,False,高,145
106,イルカマン,MC,215/742,ポケモン/1進化,,,ナミイルカ,100.0,水,雷,,1.0,スプラッシュ,水●,30,,0,False,False,高,145
112,マシマシラ,MC,358/742,ポケモン/たね,,,,110.0,超,悪,闘,1.0,[特性]アドレナブレイン,,,このポケモンに【悪】エネルギーがついているなら、自分の番に1回使える。自分の場のポケモン1匹にのっているダメカンを3個まで選び、相手の場のポケモン1匹にのせ替える。,82,False,False,高,151
112,マシマシラ,MC,358/742,ポケモン/たね,,,,110.0,超,悪,闘,1.0,サイコトリップ,超●,60,相手のバトルポケモンを【こんらん】にする。,21,False,False,高,151
122,シャリタツ,MC,549/742,ポケモン/たね,,,,70.0,竜,,,1.0,[特性]きゃくよせ,,,このポケモンがバトル場にいるなら、自分の番に1回使える。自分の山札を上から6枚見て、その中からサポートを1枚選び、相手に見せて、手札に加える。残りのカードは山札にもどして切る。,88,False,False,高,161
122,シャリタツ,MC,549/742,ポケモン/たね,,,,70.0,竜,,,1.0,なみのり,炎水,50,,0,False,False,高,161
147,ユレイドル,SV7,004/102,ポケモン/2進化,,,リリーラ,150.0,草,炎,,3.0,[特性]よりどりねんえき,,,自分の番に1回使える。コインを1回投げオモテなら、【どく】・【やけど】・【こんらん】の中から1つ選び、相手のバトルポケモンをその状態にする。,70,False,False,高,186
147,ユレイドル,SV7,004/102,ポケモン/2進化,,,リリーラ,150.0,草,炎,,3.0,しょうきのかぜ,草,100×,相手のバトルポケモンが受けている特殊状態の数×100ダメージ。,31,False,False,高,186
221,ニャオニクス,MC,332/742,ポケモン/1進化,,,ニャスパー,90.0,超,悪,闘,1.0,[特性]さそうしっぽ,,,自分の番に、自分の手札から「のんびりじゃらし」を1枚トラッシュするなら、1回使える。相手のベンチポケモンを1匹選び、バトルポケモンと入れ替える。,72,False,False,高,260
221,ニャオニクス,MC,332/742,ポケモン/1進化,,,ニャスパー,90.0,超,悪,闘,1.0,サイコショット,超●●,80,,0,False,False,高,260
247,ペロッパフ,SV8a,067/187,ポケモン/たね,,,,50.0,超,鋼,,1.0,[特性]おまつりおんど,,,場に「お祭り会場」が出ているなら、このポケモンは、持っているワザを2回連続で使える。（1回目のワザで相手のバトルポケモンが【きぜつ】したなら、次のバトルポケモンが出たあと、2回目のワザを使う。）,97,False,False,高,286
247,ペロッパフ,SV8a,067/187,ポケモン/たね,,,,50.0,超,鋼,,1.0,そっとのせる,超,,相手のポケモン1匹に、ダメカンを2個のせる。,22,False,False,高,286
249,イーブイex,MC,566/742,ポケモン/たね,ex,テラスタル(ステラ),,200.0,無,闘,,1.0,テラスタル,,,このポケモンは、ベンチにいるかぎり、ワザのダメージを受けない。,31,False,False,高,288
249,イーブイex,MC,566/742,ポケモン/たね,ex,テラスタル(ステラ),,200.0,無,闘,,1.0,[特性]にじいろDNA,,,このポケモンは、「イーブイ」から進化する「ポケモン【ex】」を手札から出して、このポケモンにのせて進化できる。（最初の自分の番や、出したばかりの番には進化できない。）,83,False,False,高,288
249,イーブイex,MC,566/742,ポケモン/たね,ex,テラスタル(ステラ),,200.0,無,闘,,1.0,クォーツシャイン,炎水雷,200,,0,False,False,高,288
255,マラカッチ,SV9,006/100,ポケモン/たね,,,,110.0,草,炎,,2.0,[特性]さくれつばり,,,このポケモンが、バトル場で相手のポケモンからワザのダメージを受けて【きぜつ】したとき、ワザを使ったポケモンにダメカンを6個のせる。,65,False,False,高,294
255,マラカッチ,SV9,006/100,ポケモン/たね,,,,110.0,草,炎,,2.0,おいつめる,●,20,次の相手の番、このワザを受けたポケモンは、にげられない。,28,False,False,高,294
269,ナンジャモのハラバリーex,MC,274/742,ポケモン/1進化,ex,トレーナーのポケモン（ナンジャモ）,ナンジャモのズピカ,280.0,雷,闘,,2.0,[特性]エレキストリーマー,,,自分の番に何回でも使える。自分の手札から「基本【雷】エネルギー」を1枚選び、自分の「ナンジャモのポケモン」につける。,58,False,False,高,308
269,ナンジャモのハラバリーex,MC,274/742,ポケモン/1進化,ex,トレーナーのポケモン（ナンジャモ）,ナンジャモのズピカ,280.0,雷,闘,,2.0,サンダーボルト,雷雷雷●,230,次の自分の番、このポケモンはワザが使えない。,22,False,False,高,308
287,ルガルガン,SV9,052/100,ポケモン/1進化,,,イワンコ,120.0,闘,草,,2.0,[特性]とげをまとう,,,自分の番に、このカードを手札から出して進化させたとき、1回使える。自分のトラッシュから「スパイクエネルギー」を2枚まで選び、このポケモンにつける。,73,False,False,高,326
287,ルガルガン,SV9,052/100,ポケモン/1進化,,,イワンコ,120.0,闘,草,,2.0,クラッチファング,●●●,40,相手のバトルポケモンにのっているダメカンの数×40ダメージ追加。,32,False,False,高,326
356,ヒビキのマグカルゴ,M2a,019/193,ポケモン/1進化,,トレーナーのポケモン（ヒビキ）,ヒビキのマグマッグ,130.0,炎,水,,3.0,[特性]とけてながれる,,,このポケモンにエネルギーがついていないなら、このポケモンの【にげる】ためのエネルギーは、すべてなくなる。,52,False,False,高,395
356,ヒビキのマグカルゴ,M2a,019/193,ポケモン/1進化,,トレーナーのポケモン（ヒビキ）,ヒビキのマグマッグ,130.0,炎,水,,3.0,ようがんバースト,炎炎炎,70×,このポケモンについている【炎】エネルギーを5枚までトラッシュし、その枚数×70ダメージ。,44,False,False,高,395
681,マーシャドー,MC,408/742,ポケモン/たね,,,,90.0,闘,超,,1.0,シャドーソバット,闘闘,60,このワザのダメージで、相手のポケモンが【きぜつ】したなら、次の相手の番、このポケモンはワザのダメージや効果を受けない。,59,False,False,高,720
688,ミカルゲ,MC,455/742,ポケモン/たね,,,,80.0,悪,草,,1.0,[特性]うらみのうず,,,このポケモンがいるかぎり、自分のバトル場の【悪】ポケモンが、相手のポケモンからワザのダメージを受けたとき、ワザを使ったポケモンにダメカンを1個のせる。,75,False,False,高,727
688,ミカルゲ,MC,455/742,ポケモン/たね,,,,80.0,悪,草,,1.0,やまくずし,悪,10,相手の山札を上から1枚トラッシュする。,19,False,False,高,727
871,エレザード,M2a,053/193,ポケモン/1進化,,,エリキテル,120.0,雷,闘,,1.0,[特性]エリマキはつでん,,,この番に、手札から「カナリィ」を出して使っていたなら、自分の番に1回使える。自分の山札から「基本【雷】エネルギー」を2枚まで選び、このポケモンにつける。そして山札を切る。,85,False,False,高,910
871,エレザード,M2a,053/193,ポケモン/1進化,,,エリキテル,120.0,雷,闘,,1.0,パワフルボルト,雷●●,70×,このポケモンについているエネルギーの数ぶんコインを投げ、オモテの数×70ダメージ。,41,False,False,高,910
1006,メガタブンネex,MC,602/742,ポケモン/たね,メガシンカex,,,270.0,無,闘,,1.0,カレイドワルツ,●,,コインを3回投げ、オモテの数×2枚ぶんまで、自分の山札から基本エネルギーを選び、自分のポケモンに好きなようにつける。そして山札を切る。,67,False,False,高,1045
1006,メガタブンネex,MC,602/742,ポケモン/たね,メガシンカex,,,270.0,無,闘,,1.0,イヤーフォース,●●●,20,相手のバトルポケモンについているエネルギーの数×80ダメージ追加。,33,False,False,高,1045
1036,ルクシオ,M3,026/080,ポケモン/1進化,,,コリンク,90.0,雷,闘,,1.0,[特性]とうしのおたけび,,,相手のバトルポケモンが「ポケモン【ex】」なら、このポケモンは、最初の自分の番や、出したばかりの番でも進化できる。,57,False,False,高,1075
1036,ルクシオ,M3,026/080,ポケモン/1進化,,,コリンク,90.0,雷,闘,,1.0,バチバチ,雷●,40,,0,False,False,高,1075
1078,あなあけスコップ,PROMO,005/M-P,グッズ,,,,,,,,,,,,自分の山札を上から2枚トラッシュする。,19,False,False,中,1117
1080,アンフェアスタンプ,MC,633/742,グッズ,ACE SPEC,,,,,,,,,,,"このカードは、前の相手の番に、自分のポケモンが【きぜつ】していなければ使えない。

おたがいのプレイヤーは、それぞれ手札をすべて山札にもどして切る。その後、自分は5枚、相手は2枚、山札を引く。",96,False,False,高,1119
1088,プライムキャッチャー,MC,656/742,グッズ,ACE SPEC,,,,,,,,,,,相手のベンチポケモンを1匹選び、バトルポケモンと入れ替える。その後、自分のバトルポケモンをベンチポケモンと入れ替える。,59,False,False,中,1127
1091,おはやし笛,SV6,091/101,グッズ,,,,,,,,,,,,相手の山札を上から5枚オモテにして、その中から【たね】ポケモンを好きなだけ選び、相手のベンチに出す。残りのカードは山札にもどして切る。,67,False,False,高,1130
1100,エネルギー転送PRO,SV7a,052/064,グッズ,ACE SPEC,,,,,,,,,,,自分の山札から、それぞれちがうタイプの基本エネルギーを好きなだけ選び、相手に見せて、手札に加える。そして山札を切る。,58,False,False,中,1139
1101,おたすけベル,SV7a,053/064,グッズ,,,,,,,,,,,,"このカードは、後攻プレイヤーの最初の番しか使えない。

自分の山札からサポートを1枚選び、相手に見せて、手札に加える。そして山札を切る。",68,False,False,中,1140
1103,ぼうがいレター,SV7a,055/064,グッズ,,,,,,,,,,,,相手は相手自身の手札を数えたあと、すべてウラにして切り、山札の下にもどす。その後、相手はもどした枚数ぶん、山札を引く。,59,False,False,中,1142
1116,エネルギーつけかえ,MC,638/742,グッズ,,,,,,,,,,,,自分の場のポケモンについている基本エネルギーを1個選び、自分の別のポケモンにつけ替える。,44,False,False,中,1155
1117,きずぐすり,MC,643/742,グッズ,,,,,,,,,,,,自分のポケモン1匹のHPを「30」回復する。,22,False,False,中,1156
1131,ロケット団のおじゃまロボ,SV10,087/098,グッズ,,,,,,,,,,,,ウラになっている相手のサイド1枚と、相手の手札からオモテを見ないで1枚選び、それぞれオモテを見る。のぞむなら、選んだカードを相手に入れ替えさせる。（対戦が終わるまで、そのサイドはオモテのまま。）,97,False,False,高,1170
1132,ロケット団のスーパーボール,MC,673/742,グッズ,,,,,,,,,,,,コインを1回投げる。オモテなら進化ポケモンの「ロケット団のポケモン」、ウラなら【たね】ポケモンの「ロケット団のポケモン」を自分の山札から1枚選び、相手に見せて、手札に加える。そして山札を切る。,96,False,False,中,1171
1136,古びたふたの化石,SV11B,080/086,グッズ,,化石,プロトーガへ進化,60.0,,,,,,,,"このカードは、HP60の【無】タイプの【たね】ポケモンとして、場に出せる。このカードは、特殊状態にならず、にげられない。
自分の番の中でなら、場に出ているこのカードをトラッシュできる。",92,False,False,高,1175
1136,古びたふたの化石,SV11B,080/086,グッズ,,化石,プロトーガへ進化,60.0,,,,,[特性]ふたのまもり,,,このポケモンは、相手のポケモンが使うワザの効果を受けない。,29,False,False,高,1175
1144,あやしい時計,MC,632/742,グッズ,,,,,,,,,,,,自分の進化している【超】ポケモンを1匹選び、「進化カード」を好きなだけはがして退化させる。はがしたカードは、手札にもどす。［退化したポケモンは、その番に進化できない。］,84,False,False,中,1183
1148,ヒートバーナー,M2,074/080,グッズ,,,,,,,,,,,,"このカードは、自分の手札から「基本【炎】エネルギー」を1枚トラッシュしなければ使えない。

相手の場のポケモンについている「ポケモンのどうぐ」「特殊エネルギー」と場に出ている「スタジアム」の中から1枚選び、トラッシュする。",111,False,False,中,1187
1160,ヘビーバトン,SV5M,066/071,ポケモンのどうぐ,,,,,,,,,,,,このカードをつけている【にげる】ためのエネルギーが4個のポケモンが、バトル場で相手のポケモンからワザのダメージを受けて【きぜつ】したとき、そのポケモンについている基本エネルギーを3枚まで選び、自分のベンチポケモンに好きなようにつけ替える。,119,False,False,高,1199
1163,力の砂時計,MC,683/742,ポケモンのどうぐ,,,,,,,,,,,,自分の番の終わりに、このカードをつけているポケモンがバトル場にいるなら、自分のトラッシュから基本エネルギーを1枚選び、そのポケモンにつけてよい。,72,False,False,中,1202
1164,ウタンのみ,MC,677/742,ポケモンのどうぐ,,,,,,,,,,,,このカードをつけているポケモンが、相手の【超】ポケモンからワザのダメージを受けるとき、そのダメージは「-60」され、このカードをトラッシュする。,72,False,False,中,1203
1165,きらめく結晶,MC,680/742,ポケモンのどうぐ,ACE SPEC,,,,,,,,,,,このカードをつけている「テラスタル」のポケモンがワザを使うとき、そのワザを使うためのエネルギーは、1個ぶん少なくなる。（少なくなるのは、どのタイプのエネルギーでもよい。）,85,False,False,中,1204
1168,カウンターゲイン,MC,679/742,ポケモンのどうぐ,,,,,,,,,,,,自分のサイドの残り枚数が、相手のサイドの残り枚数より多いなら、このカードをつけているポケモンがワザを使うためのエネルギーは、【無】エネルギー1個ぶん少なくなる。,80,False,False,中,1207
1174,ふうせん,MC,688/742,ポケモンのどうぐ,,,,,,,,,,,,このカードをつけているポケモンは、【にげる】ためのエネルギーが2個ぶん少なくなる。,41,False,False,中,1213
1175,ブレイブバングル,MC,689/742,ポケモンのどうぐ,,,,,,,,,,,,このカードをつけているポケモン（「ルールを持つポケモン」をのぞく）が使うワザの、相手のバトル場の「ポケモン【ex】」へのダメージは「+30」される。,74,False,False,高,1214
1184,スイレンのお世話,MC,712/742,サポート,,,,,,,,,,,,自分のトラッシュからポケモン（「ルールを持つポケモン」をのぞく）と基本エネルギーを合計3枚まで選び、相手に見せて、手札に加える。,64,False,False,高,1223
1185,探検家の先導,MC,717/742,サポート,,古代,,,,,,,,,,自分の山札を上から6枚見て、その中からカードを2枚選び、手札に加える。残りのカードはトラッシュする。,50,False,False,中,1224
1191,スグリ,MC,713/742,サポート,,,,,,,,,,,,"このカードは、2つの効果から1つを選んで使う。

◆自分のバトルポケモンをベンチポケモンと入れ替える。

◆この番、自分のポケモンが使うワザの、相手のバトル場の「ポケモン【ex】・【V】」へのダメージは「+30」される。",110,False,False,中,1230
1200,ハイダイ,MC,720/742,サポート,,,,,,,,,,,,自分の手札を2枚選び、好きな順番に入れ替えて、山札の下にもどす。その後、山札を4枚引く。（自分の手札を2枚もどせないなら、このカードは使えない。）,73,False,False,高,1239
1202,カキツバタ,MC,703/742,サポート,,,,,,,,,,,,自分の山札を上から7枚見て、その中からポケモンとトレーナーズを1枚ずつ選び、相手に見せて、手札に加える。残りのカードは山札にもどして切る。,69,False,False,高,1241
1227,リーリエの決心,MC,729/742,サポート,,,,,,,,,,,,自分の手札をすべて山札にもどして切る。その後、山札を6枚引く。自分のサイドの残り枚数が6枚なら、引く枚数は8枚になる。,59,False,False,中,1266
1231,ヒカリ,M2,077/080,サポート,,,,,,,,,,,,自分の山札から「【たね】ポケモン」「【1進化】ポケモン」「【2進化】ポケモン」を1枚ずつ選び、相手に見せて、手札に加える。そして山札を切る。,70,False,False,中,1270
1255,ハロンタウン,M2a,186/193,スタジアム,,,,,,,,,,,,おたがいの「ホップのポケモン」が使うワザの、相手のバトルポケモンへのダメージは「+30」される。,48,False,False,中,1294
